study_hours,attendance,previous_score,final_score
1,65,45,50
2,70,50,55
3,75,55,60
4,80,60,65
5,85,65,72
6,90,70,78
7,92,75,82
8,95,80,88
2,60,40,48
3,65,50,55
4,70,55,60
5,75,60,68
6,80,65,72
7,85,70,78
8,90,75,84
1,68,48,52
2,72,52,58
3,78,58,64
4,82,62,70
5,88,68,75
6,91,72,80
7,94,76,85
8,97,82,90
2,75,60,65
3,80,65,70
4,85,70,76
5,90,75,82
6,93,78,86
7,96,82,90
8,98,85,94
1,60,42,48
2,66,48,54
3,72,55,60
4,78,60,66
5,84,66,72
6,88,70,78
7,92,74,83
8,95,80,88
2,69,50,56
3,74,55,61
4,79,60,67
5,85,65,73
6,89,70,79
7,93,75,84
8,96,80,89
1,62,44,49
2,68,48,55
3,73,53,60
4,77,58,66
5,83,63,72
6,87,68,77
7,91,72,82
8,94,78,87
2,71,52,57
3,76,58,63
4,81,63,69
5,86,68,74
6,90,73,80
7,94,78,85
8,97,83,90
1,64,46,50
2,70,50,56
3,75,55,62
4,80,60,68
5,85,65,73
6,89,70,79
7,93,75,84
8,96,80,89
